Source,Device,Country,PreviousDonor,Wikipedia_use,Regular_user,Rely_on_Wikipedia,Since_message,Support_free_knowledge,Ad_free,Stay_Online,Support_charity,Support_volunteers,Like_privacy,Is_wp_nonprofit,Seen_messages,Morebanners_lessmoney,Too_many_banners,Enjoy_banners,Infrequent,Less_naggy,Don’t_mind_banners,Annoyed,Fundraising_necessary,Donate_other_charities,Trust_in_article,Mobile_purchases,Age,Gender,Legacy
Banner,A desktop or laptop computer,Canada,Yes,A few times a month,Somewhat,Absolutely,Somewhat,Somewhat,Absolutely,Absolutely,Somewhat,Somewhat,Absolutely,Yes,I haven't seen one this year,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Yes,Topic,Yes,18-29,Male,No thank you
Banner,A desktop or laptop computer,Canada,Yes,A few times a month,Somewhat,Somewhat,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Yes,4-9 times,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Yes,References,No,70-79,Male,No thank you
Banner,A desktop or laptop computer,Canada,Yes,A few times a month,Somewhat,Somewhat,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Yes,4-9 times,Don't know,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Yes,References,Yes,60-69,Female,"Yes, Iâ€™m interested; hereâ€™s my email address:"
Banner,A desktop or laptop computer,Canada,Yes,Daily,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,No,This was the first time I saw the message,Agree,Disagree,Don't know,Agree,Disagree,Agree,Don't know,Agree,Yes,Presentation,Yes,70-79,Female,No thank you
Banner,A desktop or laptop computer,Canada,Yes,Daily,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Yes,2-3 times,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Yes,References,Yes,60-69,Male,No thank you
Banner,A desktop or laptop computer,Canada,Yes,Daily,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Yes,2-3 times,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Yes,References,Yes,30-39,Male,No thank you
Banner,A desktop or laptop computer,Canada,Yes,Daily,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Yes,I haven't seen one this year,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Yes,References,No,60-69,Male,No thank you
Banner,A desktop or laptop computer,Canada,Yes,Daily,Absolutely,Absolutely,Absolutely,Somewhat,Absolutely,Absolutely,Absolutely,Absolutely,Somewhat,Yes,I haven't seen one this year,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Yes,Presentation,No,80+,Male,No thank you
Banner,A desktop or laptop computer,Canada,Yes,Daily,Absolutely,Somewhat,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Yes,This was the first time I saw the message,Disagree,Disagree,Don't know,Don't know,Don't know,Agree,Disagree,Agree,Yes,References,Yes,40-49,Male,"Yes, Iâ€™m interested; hereâ€™s my email address:"
Banner,A desktop or laptop computer,Canada,Yes,Daily,Absolutely,Somewhat,Not at all,Absolutely,Somewhat,Absolutely,Somewhat,Somewhat,Absolutely,Yes,I haven't seen one this year,Don't know,Don't know,Disagree,Don't know,Agree,Don't know,Don't know,Agree,Yes,Community,Yes,60-69,Male,No thank you
Banner,A desktop or laptop computer,Canada,Yes,Daily,Somewhat,Somewhat,Somewhat,Absolutely,Absolutely,Absolutely,Absolutely,Somewhat,Not at all,Yes,2-3 times,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Yes,References,No,70-79,Male,No thank you
Banner,A desktop or laptop computer,Canada,Yes,Several times a day,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Yes,2-3 times,Don't know,Disagree,Disagree,Agree,Don't know,Agree,Disagree,Agree,No,References,No,50-59,Male,No thank you
Banner,A desktop or laptop computer,Canada,Yes,Several times a day,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Yes,2-3 times,Don't know,Don't know,Don't know,Agree,Agree,Agree,Disagree,Agree,Yes,References,Yes,60-69,Male,No thank you
Banner,A desktop or laptop computer,Canada,Yes,Several times a day,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Yes,Not sure,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Yes,Presentation,Yes,60-69,Male,No thank you
Banner,A desktop or laptop computer,Canada,Yes,Several times a day,Absolutely,Somewhat,Somewhat,Absolutely,Somewhat,Somewhat,Absolutely,Absolutely,Absolutely,Yes,I haven't seen one this year,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Yes,Presentation,Yes,30-39,Prefer not to specify,No thank you
Banner,A desktop or laptop computer,Canada,Yes,Several times a week,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Yes,2-3 times,Don't know,Don't know,Don't know,Agree,Agree,Agree,Disagree,Agree,Yes,Presentation,No,70-79,Male,No thank you
Banner,A desktop or laptop computer,Canada,Yes,Several times a week,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Yes,This was the first time I saw the message,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Yes,References,Yes,30-39,Non-binary,No thank you
Banner,A desktop or laptop computer,Canada,Yes,Several times a week,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Somewhat,Absolutely,Absolutely,Yes,Not sure,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Yes,References,No,70-79,Male,No thank you
Banner,A desktop or laptop computer,Canada,Yes,Several times a week,Absolutely,Absolutely,Absolutely,Absolutely,Somewhat,Absolutely,Absolutely,Absolutely,Absolutely,Yes,2-3 times,Don't know,Disagree,Agree,Agree,Don't know,Agree,Disagree,Agree,Yes,Presentation,Yes,60-69,Male,No thank you
Banner,A desktop or laptop computer,Canada,Yes,Several times a week,Absolutely,Absolutely,Somewhat,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Yes,Not sure,Don't know,Don't know,Disagree,Agree,Don't know,Don't know,Disagree,Agree,No,References,No,60-69,Male,No thank you
Banner,A desktop or laptop computer,Canada,Yes,Several times a week,Absolutely,Absolutely,Somewhat,Absolutely,Absolutely,Absolutely,Somewhat,Absolutely,Somewhat,No,4-9 times,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,No,References,No,Under 18,Male,No thank you
Banner,A desktop or laptop computer,Canada,Yes,Several times a week,Absolutely,Absolutely,Somewhat,Absolutely,Somewhat,Absolutely,Absolutely,Somewhat,Absolutely,Yes,Not sure,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,No,References,No,18-29,Female,No thank you
Banner,A desktop or laptop computer,Canada,Yes,Several times a week,Absolutely,Somewhat,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,I had never thought about it before,2-3 times,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Yes,References,Yes,40-49,Female,No thank you
Banner,A desktop or laptop computer,Canada,Yes,A few times a month,Somewhat,Somewhat,Somewhat,Absolutely,Absolutely,Absolutely,Somewhat,Somewhat,Absolutely,Yes,2-3 times,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Yes,References,Yes,40-49,Female,No thank you
Banner,A desktop or laptop computer,Canada,No,Several times a day,Absolutely,Somewhat,Somewhat,Absolutely,Absolutely,Absolutely,Somewhat,Not at all,Absolutely,Yes,I haven't seen one this year,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Yes,References,Yes,50-59,Female,No thank you
Banner,A desktop or laptop computer,Canada,Yes,Several times a week,Somewhat,Somewhat,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Yes,I haven't seen one this year,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Yes,Presentation,Yes,80+,Male,No thank you
Banner,A desktop or laptop computer,Canada,No,Several times a week,Somewhat,Somewhat,Somewhat,Absolutely,Absolutely,Absolutely,Somewhat,Somewhat,Absolutely,I had never thought about it before,Not sure,Don't know,Disagree,Agree,Agree,Agree,Don't know,Don't know,Agree,No,References,Yes,40-49,Male,No thank you
Banner,A desktop or laptop computer,Canada,Yes,Weekly,Absolutely,Somewhat,Absolutely,Absolutely,Absolutely,Absolutely,Somewhat,Somewhat,Absolutely,I had never thought about it before,2-3 times,Agree,Disagree,Agree,Agree,Agree,Don't know,Disagree,Agree,No,Presentation,No,30-39,Female,No thank you
Banner,A desktop or laptop computer,Great Britain,Yes,Several times a week,Absolutely,Absolutely,Not at all,Absolutely,Somewhat,Absolutely,Somewhat,Absolutely,Absolutely,Yes,I haven't seen one this year,Agree,Disagree,Don't know,Agree,Agree,Agree,Disagree,Agree,Yes,Presentation,Yes,50-59,Female,No thank you
Banner,A desktop or laptop computer,Great Britain,Yes,Daily,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Somewhat,Absolutely,Yes,2-3 times,Disagree,Don't know,Don't know,Agree,Don't know,Agree,Disagree,Don't know,Yes,References,Yes,70-79,Male,No thank you
Banner,A desktop or laptop computer,Great Britain,Yes,Daily,Absolutely,Somewhat,Somewhat,Not at all,Absolutely,Somewhat,Absolutely,Not at all,Not at all,Yes,2-3 times,Agree,Don't know,Don't know,Agree,Agree,Agree,Disagree,Don't know,Yes,References,Yes,30-39,Male,No thank you
Banner,A desktop or laptop computer,Great Britain,Yes,Less than once a month,Somewhat,Somewhat,Not at all,Absolutely,Absolutely,Somewhat,Absolutely,Somewhat,Absolutely,Yes,2-3 times,Agree,Don't know,Don't know,Agree,Agree,Agree,Don't know,Don't know,Yes,References,No,60-69,Male,No thank you
Banner,A desktop or laptop computer,Great Britain,Yes,Several times a week,Absolutely,Absolutely,Absolutely,Absolutely,Somewhat,Absolutely,Absolutely,Absolutely,Absolutely,Yes,10-15 times,Agree,Disagree,Don't know,Agree,Agree,Agree,Disagree,Agree,Yes,References,Yes,60-69,Male,No thank you
Banner,A desktop or laptop computer,Great Britain,Yes,Several times a week,Absolutely,Not at all,Somewhat,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Somewhat,Yes,4-9 times,Disagree,Disagree,Disagree,Don't know,Don't know,Agree,Disagree,Agree,Yes,References,Yes,60-69,Male,No thank you
Banner,A desktop or laptop computer,Great Britain,Yes,Weekly,Somewhat,Not at all,Somewhat,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Not at all,Yes,2-3 times,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Don't know,Yes,Topic,Yes,50-59,Male,No thank you
Banner,A desktop or laptop computer,Great Britain,No,A few times a month,Somewhat,Not at all,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Somewhat,Yes,2-3 times,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Yes,References,No,60-69,Male,No thank you
Banner,A desktop or laptop computer,Great Britain,No,A few times a month,Somewhat,Somewhat,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,I had never thought about it before,This was the first time I saw the message,Disagree,Disagree,Agree,Agree,Don't know,Agree,Disagree,Agree,Yes,Presentation,No,Under 18,Male,No thank you
Banner,A desktop or laptop computer,Great Britain,No,A few times a month,Somewhat,Somewhat,Not at all,Absolutely,Somewhat,Absolutely,Somewhat,Not at all,Absolutely,Yes,2-3 times,Don't know,Don't know,Don't know,Agree,Agree,Agree,Disagree,Agree,Yes,References,Yes,18-29,Female,No thank you
Banner,A desktop or laptop computer,Great Britain,No,Daily,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Yes,10-15 times,Don't know,Disagree,Disagree,Disagree,Don't know,Agree,Disagree,Agree,Yes,References,Yes,18-29,Male,No thank you
Banner,A desktop or laptop computer,Great Britain,No,Daily,Absolutely,Somewhat,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Yes,4-9 times,Don't know,Disagree,Disagree,Agree,Don't know,Agree,Disagree,Agree,No,References,No,50-59,Prefer not to specify,No thank you
Banner,A desktop or laptop computer,Great Britain,No,Daily,Absolutely,Somewhat,Absolutely,Absolutely,Absolutely,Absolutely,Somewhat,Somewhat,Somewhat,Yes,I haven't seen one this year,Disagree,Disagree,Don't know,Agree,Don't know,Agree,Disagree,Agree,Yes,Community,No,70-79,Male,No thank you
Banner,A desktop or laptop computer,Great Britain,No,Several times a day,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Yes,2-3 times,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Yes,References,Yes,18-29,Male,No thank you
Banner,A desktop or laptop computer,Great Britain,No,Several times a day,Absolutely,Absolutely,Somewhat,Absolutely,Absolutely,Absolutely,Somewhat,Absolutely,Somewhat,Yes,4-9 times,Don't know,Disagree,Don't know,Agree,Agree,Agree,Disagree,Agree,Yes,References,No,70-79,Male,No thank you
